"","voted2004","voted2008","Kerryvoter","Obamavoter","white","black","pres.approval","partyid","economy"
"1",1,1,0,0,0,0,1,0,0
"2",1,0,0,0,1,0,1,1,-0.5
"3",1,1,0,0,1,0,-0.5,-1,-1
"4",0,0,0,0,1,0,-1,0,-0.5
"5",1,1,0,0,1,0,0.5,-1,-1
"6",1,0,0,0,1,0,0.5,-1,0
"7",1,1,0,0,1,0,0.5,0,-1
"8",1,1,0,0,1,0,-0.5,0,-0.5
"9",1,1,0,0,1,0,1,-1,-0.5
"10",1,1,1,1,0,1,-1,1,-1
"11",1,1,0,0,1,0,-1,0,0
"12",1,1,0,0,1,0,-0.5,-1,-1
"13",1,1,0,0,1,0,-1,-1,-1
"14",1,1,0,0,1,0,1,-1,-0.5
"15",1,1,0,0,1,0,0.5,0,-1
"16",1,1,0,0,1,0,-0.5,0,-1
"17",0,0,0,0,0,1,-0.5,1,-1
"18",0,0,0,0,1,0,-1,0,-1
"19",1,1,1,0,1,0,-0.5,1,-1
"20",1,1,0,0,1,0,0.5,-1,0
"21",1,1,0,1,1,0,-1,0,-1
"22",1,0,0,0,1,0,-1,0,0
"23",0,1,0,1,0,0,-1,1,-1
"24",0,1,0,1,1,0,-0.5,1,-1
"25",0,1,0,1,1,0,-1,1,-1
"26",1,0,1,0,1,0,-0.5,1,-1
"27",0,0,0,0,1,0,-1,0,-1
"28",0,1,0,0,1,0,0.5,1,-0.5
"29",0,0,0,0,1,0,-1,1,-1
"30",1,1,1,1,0,0,-0.5,0,-1
"31",1,1,0,0,1,0,-1,-1,-1
"32",1,1,0,0,1,0,-0.5,-1,-0.5
"33",1,1,0,0,1,0,0.5,-1,-1
"34",1,1,1,1,1,0,-1,0,-1
"35",0,1,0,1,1,0,-0.5,0,-0.5
"36",0,0,0,0,0,0,0.5,0,0
"37",0,1,0,1,0,0,-1,0,-1
"38",1,1,1,1,1,0,-1,1,0
"39",1,1,1,1,1,0,-1,1,-0.5
"40",1,1,1,1,1,0,-1,1,-1
"41",1,1,1,1,0,1,-1,1,-1
"42",0,0,0,0,0,0,1,0,0
"43",1,1,1,0,1,0,-0.5,1,-0.5
"44",1,1,1,1,1,0,-1,0,-1
"45",1,0,0,0,0,0,1,-1,-0.5
"46",0,0,0,0,1,0,-1,0,-0.5
"47",1,1,1,1,1,0,-1,1,-1
"48",1,1,1,1,1,0,-1,0,-1
"49",1,1,0,0,1,0,0.5,-1,-0.5
"50",0,0,0,0,1,0,-1,1,0
"51",1,1,1,1,1,0,-1,1,-0.5
"52",1,1,1,1,0,0,-1,0,-1
"53",1,0,0,0,1,0,0.5,-1,-0.5
"54",1,1,1,1,1,0,-1,0,-0.5
"55",1,1,1,1,1,0,-1,-1,-1
"56",1,1,0,0,1,0,0.5,-1,-1
"57",0,0,0,0,1,0,-0.5,0,-0.5
"58",0,0,0,0,1,0,0.5,0,-0.5
"59",0,1,0,1,1,0,-1,0,-1
"60",1,1,0,0,1,0,0.5,0,0
"61",1,1,1,1,1,0,-1,0,-1
"62",1,1,0,0,1,0,0.5,0,-1
"63",0,0,0,0,0,0,-1,-1,-1
"64",0,1,0,1,1,0,-1,0,-1
"65",1,1,1,1,1,0,-1,1,-1
"66",1,1,1,1,1,0,-1,1,-1
"67",1,1,0,0,1,0,0,-1,-0.5
